英文名稱,中文名稱,發布日期
Aatrox,厄薩斯,2013/06/13
Ahri,阿璃,2011/12/14
Akali,阿卡莉,2010/05/11
Akshan,埃可尚,2021/07/22
Alistar,亞歷斯塔,2009/02/21
Amumu,阿姆姆,2009/06/26
Anivia,艾妮維亞,2009/07/10
Annie,安妮,2009/02/21
Aphelios,亞菲利歐,2019/12/11
Ashe,艾希,2009/02/21
Aurelion Sol,翱銳龍獸,2016/03/24
Azir,阿祈爾,2014/09/16
Bard,巴德,2015/03/11
Bel'Veth,貝爾微斯,2022/06/09
Blitzcrank,布里茨,2009/09/02
Brand,布蘭德,2011/04/12
Braum,布朗姆,2014/05/12
Caitlyn,凱特琳,2011/01/04
Camille,卡蜜兒,2016/12/07
Cassiopeia,卡莎碧雅,2010/12/14
Cho'Gath,科加斯,2009/06/26
Corki,庫奇,2009/09/19
Darius,達瑞斯,2012/05/23
Diana,黛安娜,2012/08/07
Dr. Mundo,蒙多醫生,2009/09/02
Draven,達瑞文,2012/06/06
Ekko,艾克,2015/05/28
Elise,伊莉絲,2012/10/26
Evelynn,伊芙琳,2009/05/01
Ezreal,伊澤瑞爾,2010/03/16
Fiddlesticks,費德提克,2009/02/21
Fiora,菲歐拉,2012/02/29
Fizz,飛斯,2011/11/15
Galio,加里歐,2010/08/10
Gangplank,剛普朗克,2009/08/19
Garen,蓋倫,2010/04/27
Gnar,吶兒,2014/08/12
Gragas,古拉格斯,2010/02/02
Graves,葛雷夫,2011/10/19
Gwen,關,2021/04/15
Hecarim,赫克林,2012/04/18
Heimerdinger,漢默丁格,2009/10/10
Illaoi,伊羅旖,2015/11/24
Irelia,伊瑞莉雅,2010/11/16
Ivern,埃爾文,2016/10/05
Janna,珍娜,2009/09/02
Jarvan IV,嘉文四世,2011/03/01
Jax,賈克斯,2009/02/21
Jayce,杰西,2012/07/07
Jhin,燼,2016/02/01
Jinx,吉茵珂絲,2013/10/10
Kai'Sa,凱莎,2018/03/07
Kalista,克黎思妲,2014/11/19
Karma,卡瑪,2011/02/01
Karthus,卡爾瑟斯,2009/06/12
Kassadin,卡薩丁,2009/08/07
Katarina,卡特蓮娜,2009/09/19
Kayle,凱爾,2009/02/21
Kayn,慨影,2017/07/12
Kennen,凱能,2010/04/08
Kha'Zix,卡力斯,2012/09/27
Kindred,鏡爪,2015/10/20
Kled,克雷德,2016/08/11
Kog'Maw,寇格魔,2010/06/24
LeBlanc,勒布朗,2010/11/02
Lee Sin,李星,2011/04/01
Leona,雷歐娜,2011/07/13
Lillia,莉莉亞,2020/07/22
Lissandra,麗珊卓,2013/04/30
Lucian,路西恩,2013/08/22
Lulu,露璐,2012/03/20
Lux,拉克絲,2010/10/19
Malphite,墨菲特,2009/09/02
Malzahar,馬爾札哈,2010/06/01
Maokai,茂凱,2011/02/16
Master Yi,易大師,2009/02/21
Miss Fortune,好運姐,2010/09/08
Mordekaiser,魔鬥凱薩,2010/02/24
Morgana,魔甘娜,2009/02/21
Nami,娜米,2012/12/07
Nasus,納瑟斯,2009/10/01
Nautilus,納帝魯斯,2012/02/14
Neeko,妮可,2018/12/05
Nidalee,奈德麗,2009/12/17
Nilah,淣菈,2022/07/13
Nocturne,夜曲,2011/03/15
Nunu & Willump,努努和威朗普,2009/02/21
Olaf,歐拉夫,2010/06/09
Orianna,奧莉安娜,2011/06/01
Ornn,鄂爾,2017/08/23
Pantheon,潘森,2010/02/02
Poppy,波比,2010/01/13
Pyke,派克,2018/05/31
Qiyana,姬亞娜,2019/06/28
Quinn,葵恩,2013/03/01
Rakan,銳空,2017/04/19
Rammus,拉姆斯,2009/07/10
Rek'Sai,雷珂煞,2014/12/11
Rell,銳兒,2020/12/10
Renata Glasc,睿娜妲．格萊斯克,2022/02/17
Renekton,雷尼克頓,2011/01/17
Rengar,雷葛爾,2012/08/20
Riven,雷玟,2011/09/14
Rumble,藍寶,2011/04/26
Ryze,雷茲,2009/02/21
Samira,煞蜜拉,2020/09/21
Sejuani,史瓦妮,2012/01/17
Senna,姍娜,2019/11/10
Seraphine,瑟菈紛,2020/10/29
Sett,賽特,2020/01/14
Shaco,薩科,2009/10/10
Shen,慎,2010/03/24
Shyvana,希瓦娜,2011/11/01
Singed,辛吉德,2009/04/18
Sion,賽恩,2009/02/21
Sivir,希維爾,2009/02/21
Skarner,史加納,2011/08/09
Sona,索娜,2010/09/20
Soraka,索拉卡,2009/02/21
Swain,斯溫,2010/10/05
Sylas,賽勒斯,2019/01/25
Syndra,星朵拉,2012/09/13
Tahm Kench,貪啃奇,2015/07/11
Taliyah,塔莉雅,2016/05/18
Talon,塔隆,2011/08/24
Taric,塔里克,2009/08/19
Teemo,提摩,2009/02/21
Thresh,瑟雷西,2013/01/23
Tristana,崔絲塔娜,2009/02/21
Trundle,特朗德,2010/12/01
Tryndamere,泰達米爾,2009/05/01
Twisted Fate,逆命,2009/02/21
Twitch,圖奇,2009/05/01
Udyr,烏迪爾,2009/12/02
Urgot,烏爾加特,2010/08/24
Varus,法洛士,2012/05/08
Vayne,汎,2011/05/10
Veigar,維迦,2009/07/24
Vel'Koz,威寇茲,2014/02/24
Vex,薇可絲,2021/09/23
Vi,菲艾,2012/12/19
Viego,維爾戈,2021/01/22
Viktor,維克特,2011/12/29
Vladimir,弗拉迪米爾,2010/07/27
Volibear,弗力貝爾,2011/11/29
Warwick,沃維克,2009/02/21
Wukong,悟空,2011/07/26
Xayah,剎雅,2017/04/19
Xerath,齊勒斯,2011/10/05
Xin Zhao,趙信,2010/07/13
Yasuo,犽宿,2013/12/13
Yone,犽凝,2020/08/06
Yorick,約瑞科,2011/06/22
Yuumi,悠咪,2019/05/14
Zac,札克,2013/03/29
Zed,劫,2012/11/13
Zeri,婕莉,2022/01/20
Ziggs,希格斯,2012/02/01
Zilean,極靈,2009/04/18
Zoe,柔依,2017/11/21
Zyra,枷蘿,2012/07/24